NAME,State,House_D,House_R,House_O,H,Senate_D,Senate_R,Senate_O,S,EV,EC_D,EC_R
Alabama,AL,1,6,0,7,0,2,0,2,9,0,9
Alaska,AK,0,1,0,1,0,2,0,2,3,0,3
Arizona,AZ,5,4,0,9,2,0,0,2,11,11,0
Arkansas,AR,0,4,0,4,0,2,0,2,6,0,6
California,CA,42,11,0,53,2,0,0,2,55,55,0
Colorado,CO,4,3,0,7,2,0,0,2,9,9,0
Connecticut,CT,5,0,0,5,2,0,0,2,7,7,0
Delaware,DE,1,0,0,1,2,0,0,2,3,3,0
District Of Columbia,DC,0,0,0,0,0,0,0,0,3,3,0
Florida,FL,11,16,0,27,0,2,0,2,29,0,29
Georgia,GA,6,8,0,14,2,0,0,2,16,16,0
Hawaii,HI,2,0,0,2,2,0,0,2,4,4,0
Idaho,ID,0,2,0,2,0,2,0,2,4,0,4
Illinois,IL,13,5,0,18,2,0,0,2,20,20,0
Indiana,IN,2,7,0,9,0,2,0,2,11,0,11
Iowa,IA,1,3,0,4,0,2,0,2,6,0,6
Kansas,KS,1,3,0,4,0,2,0,2,6,0,6
Kentucky,KY,1,5,0,6,0,2,0,2,8,0,8
Louisiana,LA,1,5,0,6,0,2,0,2,8,0,8
Maine,ME,2,0,0,2,1,1,0,2,4,3,1
Maryland,MD,7,1,0,8,2,0,0,2,10,10,0
Massachusetts,MA,9,0,0,9,2,0,0,2,11,11,0
Michigan,MI,7,7,0,14,2,0,0,2,16,16,0
Minnesota,MN,4,4,0,8,2,0,0,2,10,10,0
Mississippi,MS,1,3,0,4,0,2,0,2,6,0,6
Missouri,MO,2,6,0,8,0,2,0,2,10,0,10
Montana,MT,0,1,0,1,1,1,0,2,3,0,3
Nebraska,NE,0,3,0,3,0,2,0,2,5,1,4
Nevada,NV,3,1,0,4,2,0,0,2,6,6,0
New Hampshire,NH,2,0,0,2,2,0,0,2,4,4,0
New Jersey,NJ,10,2,0,12,2,0,0,2,14,14,0
New Mexico,NM,2,1,0,3,2,0,0,2,5,5,0
New York,NY,19,8,0,27,2,0,0,2,29,29,0
North Carolina,NC,5,8,0,13,0,2,0,2,15,0,15
North Dakota,ND,0,1,0,1,0,2,0,2,3,0,3
Ohio,OH,4,12,0,16,1,1,0,2,18,0,18
Oklahoma,OK,0,5,0,5,0,2,0,2,7,0,7
Oregon,OR,4,1,0,5,2,0,0,2,7,7,0
Pennsylvania,PA,9,9,0,18,1,1,0,2,20,20,0
Rhode Island,RI,2,0,0,2,2,0,0,2,4,4,0
South Carolina,SC,1,6,0,7,0,2,0,2,9,0,9
South Dakota,SD,0,1,0,1,0,2,0,2,3,0,3
Tennessee,TN,2,7,0,9,0,2,0,2,11,0,11
Texas,TX,13,23,0,36,0,2,0,2,38,0,38
Utah,UT,0,4,0,4,0,2,0,2,6,0,6
Vermont,VT,1,0,0,1,2,0,0,2,3,3,0
Virginia,VA,7,4,0,11,2,0,0,2,13,13,0
Washington,WA,7,3,0,10,2,0,0,2,12,12,0
West Virginia,WV,0,3,0,3,1,1,0,2,5,0,5
Wisconsin,WI,3,5,0,8,1,1,0,2,10,10,0
Wyoming,WY,0,1,0,1,0,2,0,2,3,0,3
